forme	lemme	catégorie
plein	plein	ADJMS
ciel	ciel	NCMS
et	et	COO
les	le	DETDPIG
toilettes	toilette	NCFP
riches	riche	NCPIG
débordant	déborder	VPARPRES
des	un	DETDPIG
portières	portière	NCFP
,	,	PCTFAIB
se	se	PPER3S
trouvèrent	trouver	VINDPS3P
ainsi	ainsi	ADV
emportés	emporter	VPARPMP
dans	dans	PREP
un	un	DETIMS
grondement	grondement	NCMS
sourd	sourd	ADJMS
,	,	PCTFAIB
continu	continu	ADJMS
,	,	PCTFAIB
rythmé	rythmer	VPARPMS
par	par	PREP
le	le	DETDMS
trot	trot	NCMS
des	de le	DETDPIG
attelages	attelage	NCMP
.	.	PCTFORTE
Et	et	COO
le	le	DETDMS
défilé	défilé	NCMS
alla	aller	VINDPS3S
,	,	PCTFAIB
dans	dans	PREP
les	le	DETDPIG
mêmes	même	ADJPIG
bruits	bruit	NCMP
,	,	PCTFAIB
dans	dans	PREP
les	le	DETDPIG
mêmes	même	ADJPIG
lueurs	lueur	NCFP
,	,	PCTFAIB
sans	sans	PREP
cesse	cesse	NCFS
et	et	COO
d'	de	PREP
un	un	DETIMS
seul	seul	ADJMS
jet	jet	NCMS
,	,	PCTFAIB
comme	comme	SUB
si	si	ADV
les	le	DETDPIG
premières	premier	ADJORD
voitures	voiture	NCFP
eussent	avoir	VSUBI3P
tiré	tirer	VPARPMS
toutes	tout	ADJFP
les	le	DETDPIG
autres	autre	PIPIG
après	après	PREP
elles	il	PPER3P
.	.	PCTFORTE
Renée	Renée	NPFS
avait	avoir	VINDI3S
cédé	céder	VPARPMS
à	à	PREP
la	le	DETDFS
secousse	secousse	NCFS
légère	léger	ADJFS
de	de	PREP
la	le	DETDFS
calèche	calèche	NCFS
se	se	PPER3S
remettant	remettre	VPARPRES
en	en	PREP
marche	marche	NCFS
,	,	PCTFAIB
et	et	COO
,	,	PCTFAIB
laissant	laisser	VPARPRES
tomber	tomber	VINF
son	son	DETPOSS
binocle	binocle	NCMS
,	,	PCTFAIB
s'	se	PPER3S
était	être	VINDI3S
de	de	PREP
nouveau	nouveau	NCMS
renversée	renversé	ADJFS
à	à	PREP
demi	demi	ADV
sur	sur	PREP
les	le	DETDPIG
coussins	coussin	NCMP
.	.	PCTFORTE
Elle	elle	PPER3S
attira	attirer	VINDPS3S
frileusement	frileusement	ADV
à	à	PREP
elle	elle	PPER3S
un	un	DETIMS
coin	coin	NCMS
de	de	PREP
la	le	DETDFS
peau	peau	NCFS
d'	de	PREP
ours	ours	NCMIN
qui	qui	PRI
emplissait	emplir	VINDI3S
l'	le	DETDMS
intérieur	intérieur	NCMS
de	de	PREP
la	le	DETDFS
voiture	voiture	NCFS
d'	de	PREP
une	un	DETIFS
nappe	nappe	NCFS
de	de	PREP
neige	neige	NCFS
soyeuse	soyeux	ADJFS
.	.	PCTFORTE
Ses	son	DETPOSS
mains	main	NCFP
gantées	ganté	ADJFP
se	se	PPER3S
perdirent	perdre	VINDPS3P
dans	dans	PREP
la	le	DETDFS
douceur	douceur	NCFS
des	de le	DETDPIG
longs	long	ADJMP
poils	poil	NCMP
frisés	frisé	ADJMP
.	.	PCTFORTE
Une	un	DETIFS
brise	brise	NCFS
se	se	PPER3S
levait	lever	VINDI3S
.	.	PCTFORTE
Le	le	DETDMS
tiède	tiède	ADJSIG
après-midi	après-midi	NCI
d'	de	PREP
octobre	octobre	NCMIN
qui	qui	PRI
,	,	PCTFAIB
en	en	PREP
donnant	donner	VPARPRES
au	à le	DETDMS
Bois	bois	NCMIN
un	un	DETIMS
regain	regain	NCMS
de	de	PREP
printemps	printemps	NCMIN
,	,	PCTFAIB
avait	avoir	VINDI3S
fait	faire	VPARPMS
sortir	sortir	VINF
les	le	DETDPIG
grandes	grand	ADJFP
mondaines	mondain	NCFP
en	en	PREP
voiture	voiture	NCFS
découverte	découvert	ADJFS
,	,	PCTFAIB
menaçait	menacer	VINDI3S
de	de	PREP
se	se	PPER3S
terminer	terminer	VINF
par	par	PREP
une	un	DETIFS
soirée	soirée	NCFS
d'	de	PREP
une	un	PIFS
fraîcheur	fraîcheur	NCFS
aiguë	aigu	ADJFS
.	.	PCTFORTE
Un	un	DETIMS
moment	moment	NCMS
,	,	PCTFAIB
la	le	DETDFS
jeune	jeune	ADJSIG
femme	femme	NCFS
resta	rester	VINDPS3S
pelotonnée	pelotonner	VPARPFS
,	,	PCTFAIB
retrouvant	retrouver	VPARPRES
la	le	DETDFS
chaleur	chaleur	NCFS
de	de	PREP
son	son	DETPOSS
coin	coin	NCMS
,	,	PCTFAIB
s'	se	PPER3S
abandonnant	abandonner	VPARPRES
au	à le	DETDMS
bercement	bercement	NCMS
voluptueux	voluptueux	ADJMIN
de	de	PREP
toutes	tout	ADJFP
ces	ce	DETDEM
roues	roue	NCFP
qui	qui	PRI
tournaient	tourner	VINDI3P
