forme	lemme	catégorie
était	être	VINDI3S
mis	mettre	VPARPMS
debout	debout	ADV
,	,	PCTFAIB
avec	avec	PREP
des	de le	DETDPIG
peines	peine	NCFP
infinies	infini	ADJFP
,	,	PCTFAIB
et	et	COO
il	il	PPER3S
faisait	faire	VINDI3S
mine	mine	NCFS
de	de	PREP
vouloir	vouloir	VINF
continuer	continuer	VINF
son	son	DETPOSS
chemin	chemin	NCMS
.	.	PCTFORTE
La	le	DETDFS
maraîchère	maraîcher	NCFS
le	le	DETDMS
vit	vivre	VINDP3S
qui	qui	PRI
s'	se	PPER3S
appuyait	appuyer	VINDI3S
en	en	PREP
chancelant	chanceler	VPARPRES
sur	sur	PREP
le	le	DETDMS
brancard	brancard	NCMS
de	de	PREP
la	le	DETDFS
voiture	voiture	NCFS
.	.	PCTFORTE
Vous	vous	PPER2P
êtes	être	VINDP2P
las	las	ADJMIN
?	?	PCTFORTE
Oui	oui	ADV
,	,	PCTFAIB
bien	bien	ADV
las	las	ADJMIN
,	,	PCTFAIB
murmura	murmurer	VINDPS3S
-t	t	NCFS
-il	il	PPER3S
.	.	PCTFORTE
Alors	alors	ADV
,	,	PCTFAIB
elle	elle	PPER3S
prit	prendre	VINDPS3S
une	un	DETIFS
voix	voix	NCFIN
brusque	brusque	ADJSIG
et	et	COO
comme	comme	SUB
mécontente	mécontent	ADJFS
.	.	PCTFORTE
Elle	elle	PPER3S
le	le	PPER3S
poussa	pousser	VINDPS3S
,	,	PCTFAIB
en	en	PREP
disant	dire	VPARPRES
:	:	PCTFORTE
Allons	aller	VIMPP1P
,	,	PCTFAIB
vite	vite	ADV
,	,	PCTFAIB
montez	monter	VIMPP2P
dans	dans	PREP
ma	mon	DETPOSS
voiture	voiture	NCFS
!	!	PCTFORTE
Vous	vous	PPER2P
nous	nous	PPER1P
faites	faire	VINDP2P
perdre	perdre	VINF
un	un	PIMS
temps	temps	NCMIN
,	,	PCTFAIB
là	là	ADV
!	!	PCTFORTE
Je	je	PPER1S
vais	aller	VINDP1S
aux	à le	DETDPIG
Halles	halle	NCFP
,	,	PCTFAIB
je	je	PPER1S
vous	vous	PPER2P
déballerai	déballer	VINDF1S
avec	avec	PREP
mes	mon	DETPOSS
légumes	légume	NCMP
.	.	PCTFORTE
Et	et	COO
,	,	PCTFAIB
comme	comme	SUB
il	il	PPER3S
refusait	refuser	VINDI3S
,	,	PCTFAIB
elle	elle	PPER3S
le	le	PPER3S
hissa	hisser	VINDPS3S
presque	presque	ADV
,	,	PCTFAIB
de	de	PREP
ses	son	DETPOSS
gros	gros	ADJMIN
bras	bras	NCMIN
,	,	PCTFAIB
le	le	DETDMS
jeta	jeter	VINDPS3S
sur	sur	PREP
les	le	DETDPIG
carottes	carotte	NCFP
et	et	COO
les	le	DETDPIG
navets	navet	NCMP
,	,	PCTFAIB
tout	tout	ADV
à	à	PREP
fait	fait	NCMS
fâchée	fâché	ADJFS
,	,	PCTFAIB
criant	crier	VPARPRES
:	:	PCTFORTE
A	avoir	VINDP3S
la	le	DETDFS
fin	fin	NCFS
,	,	PCTFAIB
voulez	vouloir	VINDP2P
-vous	vous	PPER2P
nous	nous	PPER1P
ficher	ficher	VINF
la	le	DETDFS
paix	paix	NCFIN
!	!	PCTFORTE
Vous	vous	PPER2P
m'	me	PPER1S
embêtez	embêter	VINDP2P
,	,	PCTFAIB
mon	mon	DETPOSS
brave	brave	NCSIG
...	...	PCTFORTE
Puisque	puisque	SUB
je	je	PPER1S
vous	vous	PPER2P
dis	dire	VINDP1S
que	que	SUB
je	je	PPER1S
vais	aller	VINDP1S
aux	à le	DETDPIG
Halles	halle	NCFP
!	!	PCTFORTE
Dormez	dormir	VIMPP2P
,	,	PCTFAIB
je	je	PPER1S
vous	vous	PPER2P
réveillerai	réveiller	VINDF1S
.	.	PCTFORTE
Elle	elle	PPER3S
remonta	remonter	VINDPS3S
,	,	PCTFAIB
s'	se	PPER3S
adossa	adosser	VINDPS3S
contre	contre	PREP
la	le	DETDFS
planchette	planchette	NCFS
,	,	PCTFAIB
assise	asseoir	VPARPFS
de	de	PREP
biais	biais	NCMIN
,	,	PCTFAIB
tenant	tenant	ADJMS
les	le	DETDPIG
guides	guide	NCPIG
de	de	PREP
Balthazar	Balthazar	NPMS
,	,	PCTFAIB
qui	qui	PRI
se	se	PPER3S
remit	remettre	VINDPS3S
en	en	PREP
marche	marche	NCFS
,	,	PCTFAIB
se	se	PPER3S
rendormant	rendormir	VPARPRES
,	,	PCTFAIB
dodelinant	dodeliner	VPARPRES
des	de le	DETDPIG
